Time,Range,Height
0.1,0.85,0.8
0.2,1.7,1.5
0.3,3.82,3.38
0.4,5.09,4.31
0.5,6.56,5.14
0.6,7.64,5.87
0.7,8.91,6.51
0.8,10.18,7.04
0.9,11.46,7.48
1,12,7.82
1.1,14,8.07
1.2,15.27,8.21
1.3,16.51,8.26
1.4,17.82,8.21
1.5,19.09,8.06
1.6,20.36,7.81
1.7,21.64,7.46
1.8,22.91,7.02
1.9,24.18,6.48
2,25.46,5.84
2.1,26.73,5.1
2.2,28,4.26
2.3,29.27,3.33
2.4,30.55,2.29
2.5,31.82,1.16
2.6,33.03,0
